"StudentID","thesis_grades"
29518325,8
29521538,7
29593679,6.5
29641244,18
29672612,7.5
29717159,0
29720228,0
29740844,8
29753444,8
29753678,0
29768141,0
29771597,0
29777558,8
29802452,9
29824742,0
29891894,12.5
29893127,7.5
29894414,0
29922239,0
30000023,8
30000503,6.5
30000521,7.5
30000548,7.5
30000782,8
30000827,7.5
30000830,7.5
30000917,6.25
30000962,8
30001034,7
30001112,7
30001115,7.5
30001361,0
30001493,6.5
30001496,0
30001547,8.5
30001592,8.5
30001787,8
30001790,7
30001850,7.5
30001913,7.5
30002000,9
30002003,0
30002099,0
30002126,0
30002165,8
30002300,0
30002306,9
30002432,7.5
30002480,7.5
30002633,0
30002723,7
30002792,0
30002813,7
30002837,7.5
30002921,0
30002969,7.5
30003020,8
30003023,0
30003059,7
30003062,7.5
30003152,8
30003257,0
30003263,6.5
30003296,8
30003347,7.5
30003674,7.5
30003875,7
30003968,6.5
30003989,7
30003995,8
30004034,8
30004046,8
30004064,0
30004154,8
30004286,0
30004346,8
30004382,0
30004433,8
30004520,8.5
30004523,8
30004595,8
30004619,7
30004622,8
30004655,0
30004658,8
30004916,0
30005024,8
30005087,7
30005096,7.5
30005165,0
30005246,0
30005264,7
30005300,8
30005312,8
30005360,8.5
30005372,7
30005402,8.5
30005414,6.5
30005426,8
30005555,7.5
30005681,6.5
30005684,7
30005726,6
30005798,8
30005855,0
30005888,7
30005909,8.5
30005942,7
30006116,6
30006296,8
30006350,7
30006461,7
30006476,0
30006569,7.5
30006764,7.5
30006779,0
30006794,7.5
30006839,6.5
30006857,0
30006950,8.5
30006956,0
30006995,8.5
30006998,7
30007115,8.5
30007187,0
30007286,8
30007304,0
30007718,7.5
30007742,0
30007781,0
30007874,7.5
30008015,7
30008060,7
30008135,0
30008144,0
30008153,0
30008168,0
30008180,0
30008195,9
30008198,7.5
30008210,8
30008216,8
30008246,8
30008288,8.5
30008339,0
30008351,8
30008378,7.5
30008519,7
30008534,0
30008558,9
30008561,8
30008681,7.5
30008765,8
30008789,8
30008894,0
30008984,6.5
30009002,7.5
30009188,8.5
30009251,7
30009326,6.5
30009329,7
30009353,7
30009371,0
30009398,0
30009449,0
30009530,8.5
30009533,8
30009566,8
30009665,0
30009680,0
30009689,7
30009698,8
30009704,8
30009719,7
30009725,7.5
30009782,0
30009800,6.5
30009869,7.5
30009926,7
30009953,8.5
30009968,7
30010100,7.5
30010265,7.5
30010274,6
30010280,0
30010310,7
30010325,9
